species,smp,smp_mass,cut,EA,inj,C_N,run,peak_average
cyno,cyn9,5.33,250,142,4,N,1,400
fish,fish4,4.06,500,60,1,N,1,400
calanus,cal2002,9.97,650,72,1,N,1,700
calanus,cal1998,7.11,650,36.6,1,N,1,600
calanus,cal2000,9.73,65,38.6,1.5,N,1,300
calanus,cal2012,7.74,650,43.4,1,N,1,500
centropagies,ty2000,2.37,812,39,3,N,1,350
centropagies,ty2012,2.46,812,28,2,N,1,600
cyno,cyn8,4.44,593,100,1.5,N,2,1000
fish,fish3,5.85,365,100,1.5,N,2,1000
centropagies,ty2004,3.31,473,40,2,N,2,800
calanus,cal2004,8.56,75,50,1,N,2,1000
centropagies,ty2006,2.71,577,40,2,N,2,600
calanus,cal2006,10.88,605,50,1,N,2,1000
centropagies,ty2016,2.71,577,40,2,N,2,700
calanus,cal2016,7.7,750,50,1.5,N,2,1200
cyno,C54,5.6,125,50,1.5,N,3,600
fish,WS27,5.1,125,50,1,N,3,700
reef fish 1,AF10,6.5,190,75,1,N,3,700
reef fish 1,AF11,5.6,220,75,1,N,3,700
reef fish 1,AF12,5.4,230,75,1,N,3,700
cyno,CY48,6.2,90,500,1,C,4,1600
reef fish 2,WS21,5.6,80,500,1,C,4,2000
reef fish 2,CA1,6.5,70,500,1,C,4,1600
reef fish 2,CA2,5.8,80,500,1,C,4,2000
reef fish 2,CA3,6,80,500,1,C,4,2500
fish,fish2,5.85,250,820,1,C,5,3000
cyno,cyn7,4.44,250,400,1,C,5,3000
calanus,cal2004,8.56,250,347.9,1,C,5,2500
